title,lexical_diversity,dialogue_ratio,avg_sentence_len,sentiment,target_tickets,target_clicks
审判未来2028,0.53,0.322,39.0,0.799,189,87667
宦海重生：从市政府实习开始,0.437,0.267,27.9,0.733,226,93565
宰执天下,0.592,0.0,27.2,0.592,27,37012051
家兄朱允炆，请陛下赴死！,0.447,0.411,24.4,0.636,46,1455
家族修真之路,0.442,0.233,38.1,0.548,32,126341
家父李景隆，逍遥小国公,0.501,0.213,26.2,0.638,224,417712
密探江湖,0.433,0.361,25.2,0.481,17,12032
寒门仕子,0.48,0.236,27.4,0.531,102,2722211
寒门巨子,0.466,0.321,41.9,0.632,103,940023
寒门帝师,0.457,0.26,32.4,0.601,118,376712
寒门狂士,0.462,0.185,24.1,0.585,31,127825
对弈江山,0.525,0.108,35.6,0.691,5080,2280124
寻宝全世界,0.554,0.142,29.5,0.653,512,2949029
寻龙迷踪,0.53,0.147,41.6,0.655,274,141516
封印使者,0.439,0.117,37.0,0.71,510,42467
封疆悍卒,0.539,0.176,18.4,0.561,1810,2673345
将军好凶猛,0.735,0.02,44.5,0.666,18907,12298760
小兵凶猛,0.483,0.12,25.4,0.572,101,40559
小心飞升,0.59,0.06,27.8,0.713,87,31480
少年京都传,0.374,0.371,19.5,0.725,22,3776
少年异人,0.541,0.265,41.5,0.633,50,73944
尘隙,0.475,0.302,35.4,0.805,80,252713
属性流修真实录,0.523,0.173,26.7,0.593,103,44460
山巅最高处,0.483,0.299,40.5,0.71,75,25630
山有蝉鸣,0.563,0.14,43.3,0.678,3519,231021
山海三国志,0.553,0.067,38.4,0.584,35,16829
山海咖啡屋,0.419,0.223,48.9,0.582,86,110775
山海御剑录,0.558,0.137,39.0,0.742,62,543782
山海横流,0.579,0.141,46.5,0.831,123,121266
山海诡谈,0.576,0.144,34.0,0.87,6238,253478
巅峰之纪,0.405,0.418,21.2,0.716,1353,420649
巅峰仙道,0.445,0.137,30.0,0.782,4719,964127
巅峰权途,0.428,0.313,19.3,0.617,265,1789756
巅峰青云路,0.4,0.207,30.8,0.461,1312,2691770
巡天司,0.473,0.192,24.6,0.639,391,694095
巴山剑场,0.455,0.133,29.7,0.703,30,43145865
市井之徒,0.517,0.14,42.3,0.575,337,1605683
布衣青年闯天下,0.554,0.093,23.6,0.753,2845,202735
布衣首辅,0.464,0.406,24.1,0.535,4143,440832
师叔，你的法宝太不正经了,0.441,0.212,24.3,0.617,124,1093935
师叔万万岁,0.425,0.227,21.0,0.663,44,3439843
师尊逼我成真仙,0.477,0.253,37.5,0.752,33,4655
帝世无双,0.762,0.0,54.0,0.518,304,66915829
帝行说,0.449,0.36,35.6,0.713,88,16659
帝路称雄,0.389,0.364,26.0,0.737,263,18011
帝道为王,0.445,0.188,35.9,0.677,147,5682
帝道独尊,0.554,0.053,41.7,0.541,10989,12143223
带条老狗闯三界,0.479,0.223,20.2,0.51,26,4904
带着女儿闯末世,0.504,0.039,40.6,0.709,54,50818
带着智能横扫异界,0.492,0.281,29.7,0.431,79,405007
带着系统来大宋,0.473,0.088,29.7,0.816,80,222723
带着萌犬去巡天,0.521,0.178,35.7,0.597,2116,653116
带着虎符当太子,0.518,0.135,36.4,0.863,7413,2004561
平凡巅峰,0.431,0.446,34.0,0.607,70,151934
平天策,0.483,0.279,39.0,0.795,379,103751197
幽冥真仙,0.605,0.066,46.6,0.744,97,506313
庖丁捉鬼,0.531,0.201,29.2,0.61,94,71554
废土：全职小兵,0.496,0.168,24.3,0.497,22,84735
废土行者,0.604,0.038,24.8,0.638,221,1178028
废话太多真的不好,0.561,0.124,30.2,0.624,101,69052
开个诊所来修仙,0.495,0.16,29.3,0.555,55,76846639
开元雷尊,0.454,0.253,27.4,0.706,37,41359
开局一座仙武宝库,0.421,0.203,27.7,0.645,5628,369016
开局一群原始人,0.467,0.2,21.1,0.511,5187,2857811
开局丹田被废，我靠炼丹杀疯了,0.514,0.149,21.7,0.607,158,368498
开局兑换个天眼通,0.488,0.256,29.8,0.688,7167,6475038
开局全点防御，我震惊万人,0.524,0.153,37.0,0.52,2366,268560
开局弄哭女皇,0.414,0.206,29.6,0.685,98,57498
开局成为大反派，那我只好无敌了,0.477,0.22,42.0,0.74,54,49772
开局挨揍一百次，我觉醒天生霸体,0.567,0.064,35.4,0.707,26,118544
开局死士的我，却成了杀神！,0.498,0.17,21.3,0.692,30,1185
开局签到一个世界,0.465,0.15,25.9,0.543,61,40123
开局签到大唐皇位,0.43,0.286,30.8,0.61,110,80168
开局签到大宗师,0.411,0.1,26.6,0.624,63,501921
异世召唤之神魔三国,0.493,0.203,28.8,0.668,221,59035
异世崛起传奇,0.504,0.109,32.0,0.6,239,306056
异世灵武帝尊,0.51,0.33,45.6,0.774,33,89589
异族犯边，刚成状元的我领兵出征,0.451,0.419,26.8,0.637,28,6047
异界之极北称霸,0.489,0.0,29.6,0.736,11,5856
异界仙帝传说,0.503,0.275,29.3,0.7,243,66653
异界小厨神,0.446,0.297,26.0,0.67,10,3759
异界魔头在都市,0.456,0.216,21.0,0.544,134,253902
异者神术,0.441,0.405,35.0,0.528,83,40497
弈剑书,0.573,0.1,47.7,0.733,23586,373908
弑神仙尊,0.469,0.406,28.2,0.692,859,108146
当医生有了神级旁白,0.47,0.245,27.6,0.548,53,142451
当县令十年，下属非要给我黄袍加身,0.486,0.244,22.1,0.542,33,198442
彻元,0.53,0.194,36.6,0.533,77,86583
征战诸天：从大宗师开始,0.469,0.209,48.9,0.825,45,6406
徒儿你太无敌了，求求你下山去吧,0.421,0.254,23.9,0.526,57,1159526
御兽:我的兽宠可以无限加点,0.463,0.165,30.5,0.693,32,63338
御剑问仙,0.447,0.437,29.1,0.743,89,311603
御天猎神录,0.49,0.073,46.9,0.658,93,23859
御魔老祖,0.509,0.174,26.4,0.648,3176,13423
御鼎记,0.615,0.09,29.2,0.668,224,119237
德芸大师兄,0.523,0.075,36.6,0.596,18,464308
忘忧剑诀,0.466,0.34,23.8,0.703,22,10577
怪谈降临,0.492,0.203,44.2,0.64,46,129782
恐怖世界：我能签到每日礼包,0.437,0.199,24.8,0.5,1460,3463
恐惧黎明,0.44,0.091,40.5,0.649,46,11861
恒王,0.471,0.139,33.7,0.756,18,100944
恶仙,0.51,0.152,29.8,0.54,453,444585
恶灵信息库,0.473,0.107,28.7,0.706,108,29388
恶鬼当道,0.529,0.124,29.9,0.747,202,375532
恶魔大人有系统,0.462,0.263,30.7,0.826,90,10269
恶魔深渊,0.449,0.108,32.9,0.634,7678,792448
悍卒斩天,0.469,0.328,31.1,0.6,2888,4890761
您的神龙已发货,0.445,0.188,31.5,0.723,19,43523
惊悚博物馆,0.635,0.044,107.5,0.677,35,44277
慷慨天山,0.478,0.216,25.2,0.535,3949,3215554
成就系统：我在武道世界里修仙,0.472,0.249,29.1,0.611,131,296676
我！终不朽！,0.417,0.265,29.8,0.608,18,3148
我不会武功,0.464,0.087,45.9,0.693,214,6251478
我为人族逆诸神,0.489,0.026,24.9,0.783,46,54710
我从太空归来,0.411,0.304,26.3,0.611,265,96065
我以道心越仙凡,0.469,0.246,52.7,0.626,1981,9778
我以道种铸永生,0.503,0.142,21.7,0.683,1136,1066054
我们的村BA,0.537,0.367,34.1,0.685,517,8466
我做销售的那些年,0.517,0.132,36.5,0.713,124,84268
我医武双绝，踏出女子监狱起无敌！,0.452,0.289,21.6,0.685,156,806062
我只想游手好闲,0.512,0.064,105.3,0.749,110,57979
我只是一朵云,0.484,0.243,28.4,0.724,121,65933
我只有两千五百岁,0.456,0.191,20.7,0.825,22766,18095241
我和三千年前昆仑剑仙谈恋爱,0.446,0.308,22.6,0.546,684,28112
我和总裁师妹一起干翻系统,0.435,0.154,33.0,0.507,7336,169953
我和迷糊女徒弟的修行日常,0.468,0.127,29.2,0.601,46,366196
我和鬼怪有个约定,0.457,0.086,33.2,0.639,20,46338
我在三界开酒馆,0.786,0.0,21.9,0.718,1506,234461
我在东京打妖怪,0.429,0.323,24.3,0.69,392,41943
我在九零年代做大厨,0.45,0.297,45.5,0.432,50,34753
我在修仙界猎杀穿越者,0.417,0.094,46.7,0.875,4440,396796
我在唐朝放电影,0.589,0.058,34.1,0.772,149,36545
我在大俞做王爷,0.499,0.167,21.1,0.616,162,1418541
我在异界打篮球,0.436,0.148,31.7,0.583,154,24445
我在新东方教授魔法,0.479,0.278,21.7,0.705,106,8993
我在明末当特工,0.57,0.205,38.4,0.786,59,270164
我在末世有座城,0.558,0.184,24.8,0.68,40,353840
我在武侠跑龙套,0.484,0.137,24.1,0.621,39,52755
我在漫威抡魔杖,0.604,0.065,21.4,0.69,45,539030
我在都市长生不死,0.565,0.202,31.1,0.777,36,129328
我在霍格沃茨抡大剑,0.491,0.115,25.6,0.697,34,472698
我契约了我自己,0.396,0.062,38.4,0.705,314,1877047
我家道尊是神医,0.477,0.093,36.8,0.639,54,56078
我就是天阶,0.498,0.116,20.8,0.623,59,44082
我居然是终极大佬！,0.459,0.213,26.3,0.566,48,16254
我差亿点成神,0.46,0.265,26.2,0.623,52,24235
我干掉了主角,0.454,0.107,25.6,0.752,111,40807
我当捕快那些年,0.423,0.384,34.5,0.504,482,493693
我怎么就成灾星了,0.491,0.057,40.4,0.719,224,168080
我想有套房,0.416,0.173,20.2,0.631,588,113155
我是一个小卒,0.486,0.218,27.3,0.646,161,511193
我是一名剑修,0.437,0.223,33.9,0.714,19,73743
我是丧尸帝王,0.377,0.264,24.0,0.685,68,35785
我是刘协，我不做献帝,0.458,0.253,29.4,0.766,37,134860
我是山大王,0.494,0.429,25.4,0.473,525,117555
我有一剑,0.354,0.295,23.6,0.628,64256,304203926
我有一剑可斩仙,0.518,0.345,27.4,0.678,43,63526
我有一尊炼妖壶,0.614,0.211,30.4,0.615,754,4366609
我有一座江湖,0.803,0.0,20.1,0.746,634,683090
我有一座随身农场,0.454,0.131,46.7,0.703,34,1641101
我流亡缅北的那些年,0.505,0.124,20.4,0.502,479,474511
我用阵法补天地,0.497,0.148,40.5,0.742,8419,291267
我的傲娇总裁老婆,0.425,0.274,21.6,0.527,242,56253
我的刁蛮女总裁,0.482,0.164,39.3,0.551,40,233082
我的功法可以吞噬一切,0.388,0.171,43.1,0.703,14,2966
我的员工非人哉,0.477,0.279,21.2,0.728,50,11340
我的宿主千千万,0.411,0.426,18.5,0.491,49,83666
我的徒弟又丢了,0.414,0.355,18.4,0.618,57,115779
我的治愈系剧本杀,0.452,0.153,30.0,0.608,47,25551
我的系统无所不能,0.474,0.157,157.0,0.698,333,55418
我的绝色女总裁,0.473,0.331,29.6,0.774,22,126865
我的老公有点神,0.553,0.156,21.2,0.695,184,289789
我的超能力好像过于逆天,0.441,0.195,33.4,0.67,119,64459
我的酒壶能修仙,0.466,0.104,37.4,0.614,917,191566
我省府大秘，问鼎京圈,0.502,0.246,22.3,0.635,193,226145
我真不想做昏君啊,0.492,0.123,26.9,0.544,29,62188
我真不想当渣男啊,0.399,0.327,21.7,0.712,83,83065
我真不是剑仙,0.486,0.296,24.2,0.602,101,962501
我真不是谪仙人,0.484,0.256,24.3,0.749,666,201161
我真是太阴险了,0.457,0.255,17.6,0.598,3585,1991457
我真没想当渣男啊,0.59,0.128,45.6,0.692,114,706304
我竟是第一位仙人,0.47,0.124,27.8,0.581,61,47710
我缔造了文娱盛世,0.476,0.231,18.9,0.607,66,303951
我老婆是宇宙之心,0.403,0.324,24.1,0.562,190,53972
我被坑成了剑圣,0.42,0.185,26.4,0.533,93,529411
我跑长途遇到的那些邪乎事,0.494,0.136,25.7,0.462,220,348016
战神从复仇开始,0.535,0.159,34.5,0.634,91,122382
战神殿,0.453,0.298,27.1,0.598,29,3408702
打到北极圈了，你让我继承皇位？,0.51,0.233,21.2,0.659,488,1039376
执剑长安,0.434,0.198,26.3,0.724,33,29539
执子洪荒,0.364,0.17,41.7,0.713,85,7157
执罚者,0.476,0.257,25.1,0.571,22,1717
扶摇九霄传,0.563,0.185,39.2,0.832,62,3815435
拜金出轨，我修仙归来你有脸求复合？,0.453,0.3,25.9,0.588,23,37071
捍卫天骑,0.541,0.079,49.4,0.803,29,526467
换宋,0.511,0.241,30.7,0.718,40,291867
掌天图,0.454,0.328,20.7,0.616,254,436652
掌门怀孕，关我一个杂役什么事,0.503,0.192,23.0,0.647,185,571320
探宝修真在都市,0.645,0.008,38.4,0.763,236,273316
提刑仙官,0.452,0.232,25.9,0.729,184,39549
携剑上九天,0.535,0.183,44.7,0.792,31,23040
摊牌了，我就是全能巨星,0.471,0.299,19.7,0.511,642,509834
摘古,0.495,0.18,31.9,0.623,26,36115
救命，我的直播出问题了！,0.438,0.131,31.2,0.604,52,55355
敕令,0.501,0.123,33.5,0.814,26,52587
散修之王,0.448,0.278,33.8,0.524,24,52564366
斗兽山,0.516,0.254,29.3,0.616,107,15899
斗兽山海,0.508,0.181,27.1,0.709,2272,1423988
斗罗大陆V重生唐三,0.494,0.009,24.5,0.783,137,1562809
斩云纪,0.528,0.095,57.2,0.814,89,17342
斩妖,0.471,0.257,22.5,0.651,58,1097218
斩妖除魔：我镇压诸天亿万妖魔,0.462,0.155,26.2,0.801,1095,3148
斩道成帝,0.483,0.183,23.8,0.669,45,18244
断刃行,0.469,0.0,45.9,0.771,9,333464
新官路商途,0.468,0.113,41.6,0.587,28758,11333508
新界之门,0.542,0.266,26.5,0.589,4252,99809
无上剑主,0.429,0.149,26.1,0.686,24,64907
无上剑仙,0.492,0.166,20.4,0.544,24,21167
无上正道,0.527,0.105,40.8,0.717,44,53956
无双质子,0.467,0.263,23.9,0.585,35,1720
无品大知县,0.417,0.081,49.4,0.446,2179,230996
无境之剑,0.416,0.279,31.6,0.618,23,128155
无尽海图,0.445,0.216,35.5,0.644,79,530860
无敌一剑,0.456,0.298,19.7,0.593,940,52825
无敌从反派狗腿子开始,0.411,0.324,22.7,0.523,25,116184
无敌从斩妖除魔开始！,0.485,0.155,39.2,0.642,27,1767
无敌从降妖除魔开始,0.465,0.247,25.0,0.668,22,291942
无敌六皇子,0.418,0.289,20.1,0.617,72,8142590
无敌剑域,0.495,0.118,28.8,0.625,267,94146680
无敌剑道,0.438,0.233,20.7,0.64,627,18697
无敌天命,0.382,0.308,32.2,0.699,43337,120979693
无敌混沌钟,0.542,0.06,58.9,0.744,2615,102191
无敌邪圣,0.763,0.0,27.8,0.717,977,119647
无极之主,0.452,0.219,22.4,0.64,2145,62049
无量你个大天尊,0.546,0.187,35.9,0.681,510,4081913
无限之我和主角有个约会,0.695,0.015,55.4,0.558,24,34429
无限之这个学院有点诡,0.605,0.217,46.5,0.721,31,42011
无限侵噬世界,0.444,0.302,23.6,0.649,50,77146
无限烽火：坦克大玩家,0.429,0.433,33.1,0.593,65,21224
无限超进化,0.531,0.297,28.7,0.561,224,234091
日月风华,0.582,0.083,92.9,0.764,19525,45432855
时空法则,0.417,0.292,25.1,0.631,171,2200492
时空穿越：我是宇宙设计师,0.45,0.28,32.3,0.64,19,4991
时能武王,0.604,0.019,29.2,0.618,137,222549
明天子,0.529,0.095,26.0,0.711,177,5274633
明末最强县太爷,0.528,0.252,46.6,0.674,22,1034
明末枭臣,0.54,0.246,49.7,0.509,268,157761
明末求生记,0.462,0.124,20.0,0.526,23,1974692
明末草头王,0.503,0.151,41.4,0.575,188,716722
明泽学园高校生,0.49,0.239,24.7,0.546,115,80549
星武帝尊,0.482,0.213,31.1,0.711,29,27766
星武纪元,0.479,0.271,27.0,0.656,11021,1755691
星海剑尊,0.535,0.098,28.4,0.851,223,940068
星海王座,0.443,0.096,25.7,0.734,22016,3988203
星空纪元,0.474,0.194,31.9,0.756,52,566347
星空蕴道,0.557,0.0,309.2,1.0,285,642907
星辰之主,0.717,0.0,21.3,0.623,2314,16793786
星辰大道,0.431,0.186,22.0,0.575,7619,9969829
星际傲游,0.492,0.314,18.7,0.611,58,3007
星际猎人,0.501,0.056,41.9,0.5,415,320375
星魂剑魄,0.464,0.234,30.2,0.657,221,134808
春秋王旗,0.424,0.198,59.2,0.74,140,146925
昭雪令,0.506,0.362,46.5,0.671,292,757462
晋末征途,0.451,0.159,28.5,0.718,26,184779
晋策,0.437,0.158,63.1,0.551,51,33267
暗巷2：凝望,0.423,0.164,27.2,0.405,65,190068
暗巷3：浴火,0.496,0.179,24.4,0.57,46,407018
暴力书生,0.417,0.295,29.4,0.42,47,19382
最后的斩妖仙,0.426,0.219,23.3,0.608,84,8191
最强功法修炼册,0.424,0.235,39.0,0.696,36,27293
最强战神,0.526,0.155,25.3,0.708,17229,24369498
最强狂兵,0.787,0.038,35.9,0.839,5932,207731851
最强狂兵Ⅱ：黑暗荣耀,0.476,0.366,29.8,0.598,12271,19129692
最强职业人,0.476,0.136,35.0,0.403,67,444256
最强逆袭,0.508,0.13,53.9,0.668,86,508948040
最强都市修真,0.472,0.178,39.7,0.645,246,6801789
最强重装,0.438,0.063,46.9,0.535,98,155193
最强锦衣,0.476,0.195,31.6,0.782,37,65253
最牛重生，人生回档在牙牙学语,0.573,0.058,44.7,0.724,121,6668
有帝族背景还开挂，我无敌了！,0.48,0.223,21.1,0.775,1207,1676796
有请剑仙，一剑开天！,0.496,0.303,23.6,0.599,32,279015
望仙门,0.549,0.199,51.2,0.711,37,566050
朝天子,0.521,0.308,25.9,0.578,213,1429632
末世：每日刷新情报，囤女神囤物资！,0.481,0.192,23.8,0.649,17,163767
末世：求生游戏，我跟丧尸学斩仙,0.461,0.281,41.4,0.457,4470,1427189
末世不灭战神,0.511,0.182,35.4,0.683,34,205565
末世余光,0.494,0.073,30.4,0.502,249,32644
末世吞噬者,0.551,0.041,34.6,0.682,29,560066
末世战车，我从自行车开始进化！,0.446,0.251,17.2,0.479,66,1120
末世无限吞噬,0.552,0.169,35.2,0.668,328,4249903
末世无限进化,0.536,0.043,28.1,0.637,75,350024
末世淘汰,0.461,0.415,20.8,0.621,33,2425
末世猎人,0.483,0.054,18.4,0.641,34,835249
末日：别人收集物资，你收集美女？,0.46,0.136,16.1,0.532,22,79594
末日：机战之王,0.443,0.267,28.0,0.699,31,20604
末日天穹,0.478,0.216,43.7,0.588,44,24412
末日崛起,0.475,0.006,48.6,0.722,272,5554067
末日游戏：开局觉醒神级天赋,0.479,0.135,39.3,0.664,73,338611
末日重生：开局囤积SSS级卡牌,0.488,0.291,24.1,0.601,58,1423440
末日重生：开局怒抽前女友,0.481,0.21,28.9,0.561,37,303830
末日降临,0.436,0.064,54.8,0.817,130,45200
末日霸权,0.457,0.244,23.4,0.623,70,1270232
朱元璋穿越崇祯,0.468,0.196,32.9,0.737,443,191292
机战：全金属风暴,0.56,0.144,42.0,0.614,4184,4390297
机战：超新星主宰,0.513,0.133,27.1,0.586,84,31293
杀生仙道,0.506,0.124,29.3,0.77,23,5132
权力巅峰,0.453,0.267,30.3,0.526,731,12915451
权力巅峰：从一等功开始平步青云,0.472,0.169,25.8,0.634,48,1257085
权力巅峰：从县长秘书开始,0.458,0.255,35.3,0.629,17,85092
杨氏崛起之啃孙成仙,0.717,0.032,35.7,0.688,1446,1525279
极品女神赖上我,0.43,0.223,17.6,0.625,127,164277
极品枭龙,0.443,0.406,25.7,0.709,221,1301303
极夜之下,0.517,0.209,21.0,0.616,2207,187460
极致进化,0.564,0.0,96.2,0.948,340,623876
极诣剑仙：从砍柴开始无敌,0.5,0.14,25.9,0.616,877,3444
极道剑尊,0.424,0.256,16.3,0.599,537,3449369
极道武夫,0.495,0.172,42.8,0.628,35,155042
极道猎梦师,0.572,0.204,47.7,0.697,604,1221836
枪破剑界我为皇,0.533,0.132,30.1,0.65,2997,93837
枭臣,0.549,0.237,71.5,0.682,89,42173612
柯南之民风淳朴米花町,0.352,0.287,25.3,0.577,101,3754
校园修仙武神,0.755,0.0,80.6,0.434,77,3583512
校花别哭了，哥的深情你不配,0.433,0.295,36.7,0.566,44,100836
校花的贴身医生,0.43,0.43,25.0,0.741,52,26893
核污海兽变异，我打造了天幕,0.505,0.297,42.6,0.592,18,9742
梦幻西游：至尊花果山,0.418,0.105,36.0,0.542,43,62310
梦醒初时,0.604,0.046,33.7,0.734,277,103461
梦魇游戏：举世皆敌，我来狩猎各国,0.456,0.153,21.9,0.666,10,669273
模拟修仙传,0.628,0.159,51.8,0.768,5185,4612481
横刀行,0.721,0.038,26.2,0.784,62,42981
此剑天上来,0.392,0.227,29.5,0.556,27,44639
此地有妖气,0.458,0.162,21.7,0.671,11358,4075193
步步登阶,0.444,0.183,26.8,0.513,523,1721373
步步高升：从省考状元到权力巅峰,0.554,0.269,22.5,0.645,11367,2212240
武侠世界穿穿穿,0.389,0.326,30.5,0.659,2399,261477
武侠从射雕开始,0.435,0.266,27.4,0.622,22,19143
武夫,0.582,0.021,25.6,0.602,21013,16386285
武夫凶猛,0.552,0.218,32.1,0.792,2299,641092
武夫当立,0.38,0.41,42.9,0.569,29,13806
武尊别回头快跑,0.457,0.209,24.4,0.543,861,157293
武当,0.527,0.188,61.1,0.697,37,64690
武战星空,0.545,0.191,24.4,0.76,56,83284
武游都市,0.504,0.195,39.3,0.61,98,85250
武神,0.527,0.194,18.9,0.763,23,41970
武运昌隆,0.476,0.309,23.3,0.651,94,4779
武道长生，从大离第一纨绔开始,0.455,0.289,17.8,0.664,413,572693
死亡代言人,0.509,0.029,60.1,0.821,88,53925
死神之一刀双魂,0.437,0.249,41.1,0.539,22,9822
毁灭游戏,0.514,0.005,27.9,0.738,14,1288985
民国诡闻实录,0.593,0.304,49.3,0.483,220,148670
民间盗墓实录,0.475,0.219,31.8,0.613,272,19222
气武我为王,0.465,0.364,35.7,0.72,20,15610
水浒：从卖私盐开始,0.546,0.305,45.3,0.59,19,45528
永夜,0.502,0.157,34.0,0.678,295,601520
永夜冥神,0.427,0.235,34.2,0.599,85,163563
永夜君王,0.678,0.004,35.8,0.593,23,127616689
永恒真界,0.518,0.159,34.3,0.706,222,1153
永生才能不灭,0.416,0.21,43.0,0.709,2643,229943
永生攻略,0.481,0.228,22.2,0.636,44,8671
汉威四海,0.408,0.181,21.0,0.712,35,5267
汉宫春,0.48,0.191,31.7,0.578,26,66027
汉灵昭烈,0.597,0.137,21.3,0.553,146,1260108
江湖天子,0.534,0.168,27.3,0.635,1091,133435
江湖男儿：困龙出山,0.503,0.198,26.5,0.676,17399,540829
汴京异闻录,0.437,0.326,27.6,0.736,31,6335
沉睡一年后我无敌了,0.433,0.369,23.8,0.607,444,23905
沧海龙腾录,0.614,0.073,25.1,0.748,45,12219
沧澜仙图,0.541,0.159,44.6,0.721,32,590122
洛神纪,0.432,0.16,32.4,0.732,33,110976
津门诡事录,0.499,0.103,35.4,0.655,158,50798
洪荒之异世神格,0.547,0.004,37.2,0.702,23,54293
流浪之城,0.48,0.0,23.7,0.496,1924,835532
流浪在南明,0.485,0.192,37.9,0.664,91,158889
流浪法骑,0.432,0.149,38.4,0.575,669,118751
浊世第一仙,0.496,0.216,39.7,0.619,21,99065
浑天记,0.605,0.098,23.8,0.759,304,3911630
浮仙令,0.577,0.139,30.2,0.57,407,1110251
浮生应作长歌行,0.494,0.099,27.1,0.583,227,57272
浴天圣帝,0.555,0.035,41.1,0.72,403,66839
深夜乐园,0.419,0.255,30.1,0.682,61,6730594
深度迷案,0.471,0.382,34.7,0.57,233,109565
深海求生：我能看到弹幕提示,0.498,0.036,31.4,0.674,119,335069
深渊之城,0.528,0.37,43.1,0.491,33,15030
深渊季节,0.53,0.159,46.3,0.811,5811,182001
深空虚无,0.444,0.245,46.4,0.707,85,71054
混乱世界当根葱,0.488,0.147,41.4,0.571,64,17896
混沌塔,0.441,0.182,24.5,0.622,146,1077909
混沌川海,0.437,0.144,40.7,0.726,12345,113375
渡劫之王,0.689,0.087,134.6,0.802,48330,576247713
渡厄,0.514,0.158,42.7,0.795,24,28044
湘阳路警事,0.51,0.387,30.2,0.528,1371,2207
源力过载,0.489,0.112,27.3,0.673,3410,918964
满级传球，从皇马解约成全能球王,0.531,0.096,23.5,0.62,11,68029
火影之漩涡毅,0.362,0.341,17.8,0.554,46,33228
火红年代：知青小医生，青梅陪我下乡,0.501,0.167,27.7,0.524,198,250165
灭世雷神,0.441,0.189,30.0,0.581,1100,38828
灯塔战纪,0.522,0.075,52.7,0.797,22,16929
灯影山河,0.45,0.221,32.9,0.692,207,452479
灰烬领主,0.5,0.081,33.9,0.707,10653,19897377
灵世之末,0.44,0.424,35.0,0.449,27,21995
灵异锻刀人,0.393,0.332,22.4,0.416,237,53031
灵气复苏我得天意加持,0.5,0.058,41.8,0.683,6255,199359
灵气降临时代,0.612,0.05,29.4,0.762,92,305370
灵玄共主,0.509,0.076,82.2,0.913,152,36024
灵界战雄,0.44,0.245,22.7,0.555,52,592492
灵纹之主,0.448,0.174,33.3,0.764,232,8346
灵道通宝,0.565,0.136,28.3,0.759,78,7581
炎灵幻界,0.562,0.087,30.7,0.658,28,187326
点道为止,0.457,0.317,35.0,0.75,167,410656624
炼天剑帝,0.495,0.283,22.6,0.643,65,45554
烬尘录,0.51,0.279,24.4,0.546,22,12049
焚天路,0.599,0.0,20.6,0.667,7089,1519244
焚尸五年，一出关就成了天师,0.452,0.11,24.9,0.615,76,10542000
燧源,0.466,0.186,40.3,0.745,28,9508
特战之王,0.726,0.0,17.4,0.462,24,18898648
狂傲为仙,0.631,0.043,47.7,0.58,882,71037
狂兵龙婿,0.497,0.282,30.7,0.628,29,323029
狂暴逆袭,0.421,0.266,25.3,0.604,339,5413528
独尊山海,0.482,0.005,38.6,0.681,506,59678
独步江湖,0.55,0.183,38.0,0.454,32,83891
狼人杀：演员请就位,0.402,0.341,34.4,0.528,24,115385
狼烟晚明,0.541,0.127,32.2,0.592,12,23953
狼胥,0.485,0.221,28.8,0.636,122,27112
猎场风云,0.601,0.029,35.2,0.746,2617,338494
猎天争锋,0.824,0.0,46.2,0.14,4725,13163729
猎户出山,0.867,0.0,48.0,0.929,293,2970946
猎无道,0.588,0.161,27.1,0.786,905,32533
猎魔英雄,0.455,0.436,35.9,0.733,222,839
猩红之主,0.445,0.337,24.1,0.661,21,3555
玄幻：我体内有个魔界女帝,0.384,0.21,26.7,0.725,56,29097
玄幻：诸天最强系统,0.417,0.197,18.7,0.652,13,420146
玉京天,0.528,0.073,31.4,0.667,499,179652
理想之国,0.459,0.461,26.0,0.586,56,1131675
生存技能点满，我靠摸鱼抓虾养活妻女,0.516,0.168,25.2,0.565,8,96713
生性多疑的我觉醒了选择系统,0.529,0.0,28.7,0.73,65,18177
生物骇客,0.625,0.217,27.3,0.565,41,4327367
电视世界大冒险,0.483,0.193,19.8,0.529,71,4705
男人野性,0.456,0.32,19.3,0.527,97,296042
界起通天,0.458,0.173,28.3,0.702,356,84288
疯了吧！你管这叫美丽人生？,0.465,0.174,21.1,0.711,2913,263608
登仙令,0.499,0.136,29.6,0.747,2496,319171
登天,0.45,0.305,23.6,0.685,2062,235558
白夜浮生录,0.522,0.041,25.3,0.655,109,166701
百炼成神,0.466,0.124,30.0,0.663,1100,108323
百转飞仙,0.505,0.135,35.3,0.686,148,223984
盖世,0.564,0.228,28.0,0.626,15562,52250846
盖世人王,0.609,0.115,31.5,0.637,18083,15023259
盖世神医,0.442,0.312,23.8,0.597,724,8936788
盗天战纪,0.483,0.416,26.7,0.644,228,230100
盘天之战,0.416,0.268,44.2,0.759,5755,431478
盘龙神剑,0.428,0.224,19.6,0.698,2816,218936
盛世国手,0.553,0.175,27.3,0.717,103,17497
盛世痞子,0.565,0.129,35.3,0.694,67,46212
相思一剑,0.451,0.253,40.3,0.674,43,42933
看守废丹房三年，我偷偷成仙了,0.497,0.228,22.9,0.578,116,712587
真假回忆录,0.469,0.257,25.1,0.711,20,14954
真战神,0.449,0.032,22.0,0.772,260,146038
真武剑尊,0.532,0.248,22.7,0.691,11,340
破冰,0.565,0.231,49.3,0.705,255,2969
